Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894	23	-17	-1.0	17	1894
24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932	24	-38	-1.0	38	1932
25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967	25	-35	-1.0	35	1967
26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999	26	-32	-1.0	32	1999
27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021	27	-22	-1.0	22	2021
28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039	28	-18	-1.0	18	2039
29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080	29	-41	-1.0	41	2080
30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118	30	-38	-1.0	38	2118
31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149	31	-31	-1.0	31	2149
32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186	32	-37	-1.0	37	2186
