Episode	Accumulated Reward	Average Reward	Length	Steps
410	-100	-50.0	2	10899
411	-100	-50.0	2	10901
412	-114	-7.125	16	10917
413	-110	-9.166666666666666	12	10929
414	-104	-17.333333333333332	6	10935
415	-135	-3.6486486486486487	37	10972
416	-136	-3.5789473684210527	38	11010
417	-105	-15.0	7	11017
418	-153	-2.7818181818181817	55	11072
419	-100	-50.0	2	11074
420	-120	-5.454545454545454	22	11096
421	-100	-50.0	2	11098
422	-129	-4.161290322580645	31	11129
423	-104	-17.333333333333332	6	11135
424	-109	-9.909090909090908	11	11146
425	-100	-50.0	2	11148
426	-102	-25.5	4	11152
427	-108	-10.8	10	11162
428	-102	-25.5	4	11166
429	-125	-4.62962962962963	27	11193
430	-67	-0.9571428571428572	70	11263
431	-101	-33.666666666666664	3	11266
432	-120	-5.454545454545454	22	11288
433	-161	-2.5555555555555554	63	11351
434	-105	-15.0	7	11358
435	-128	-4.266666666666667	30	11388
436	-100	-50.0	2	11390
437	-100	-50.0	2	11392
438	-100	-50.0	2	11394
439	-173	-2.3066666666666666	75	11469
440	-112	-8.0	14	11483
441	-100	-50.0	2	11485
442	-148	-2.96	50	11535
443	-100	-50.0	2	11537
444	-198	-1.98	100	11637
445	-100	-50.0	2	11639
446	-107	-11.88888888888889	9	11648
447	-143	-3.1777777777777776	45	11693
448	-100	-50.0	2	11695
449	-100	-50.0	2	11697
450	-100	-50.0	2	11699
451	-62	-0.37349397590361444	166	11865
452	-100	-50.0	2	11867
453	-109	-9.909090909090908	11	11878
454	-100	-50.0	2	11880
455	-103	-20.6	5	11885
456	-106	-13.25	8	11893
457	-100	-50.0	2	11895
458	-110	-9.166666666666666	12	11907
459	-106	-13.25	8	11915
460	-103	-20.6	5	11920
461	-23	-0.8846153846153846	26	11946
462	-100	-50.0	2	11948
463	-135	-3.6486486486486487	37	11985
464	-119	-0.9754098360655737	122	12107
465	-100	-50.0	2	12109
466	-115	-6.764705882352941	17	12126
467	-132	-3.8823529411764706	34	12160
468	-112	-8.0	14	12174
469	-100	-50.0	2	12176
470	-100	-50.0	2	12178
471	-295	-1.49746192893401	197	12375
472	-106	-13.25	8	12383
473	-109	-9.909090909090908	11	12394
474	-101	-33.666666666666664	3	12397
475	-103	-20.6	5	12402
476	-100	-50.0	2	12404
477	-100	-50.0	2	12406
478	-101	-33.666666666666664	3	12409
479	-116	-6.444444444444445	18	12427
480	-108	-0.972972972972973	111	12538
481	-100	-50.0	2	12540
482	-118	-5.9	20	12560
483	-118	-5.9	20	12580
484	-72	-0.96	75	12655
485	-159	-2.6065573770491803	61	12716
486	-105	-15.0	7	12723
487	-116	-6.444444444444445	18	12741
488	-111	-8.538461538461538	13	12754
489	-104	-17.333333333333332	6	12760
490	-100	-50.0	2	12762
491	-104	-17.333333333333332	6	12768
492	-83	-0.9651162790697675	86	12854
493	-100	-50.0	2	12856
494	-56	-0.9491525423728814	59	12915
495	-100	-50.0	2	12917
496	-106	-13.25	8	12925
497	-148	-2.96	50	12975
498	-100	-50.0	2	12977
499	-112	-8.0	14	12991
500	-101	-33.666666666666664	3	12994
501	-211	-1.8672566371681416	113	13107
502	-165	-2.462686567164179	67	13174
503	-100	-50.0	2	13176
504	-106	-13.25	8	13184
505	-100	-50.0	2	13186
506	-136	-3.5789473684210527	38	13224
507	-100	-50.0	2	13226
508	-111	-8.538461538461538	13	13239
509	-100	-50.0	2	13241
510	-116	-6.444444444444445	18	13259
511	-119	-5.666666666666667	21	13280
512	-145	-3.0851063829787235	47	13327
513	-122	-5.083333333333333	24	13351
514	-140	-3.3333333333333335	42	13393
515	-100	-50.0	2	13395
516	-100	-50.0	2	13397
517	-100	-50.0	2	13399
518	-104	-17.333333333333332	6	13405
519	-100	-50.0	2	13407
520	-104	-17.333333333333332	6	13413
521	-104	-17.333333333333332	6	13419
522	-135	-3.6486486486486487	37	13456
523	-100	-50.0	2	13458
524	53	1.0392156862745099	51	13509
525	-113	-7.533333333333333	15	13524
526	-102	-25.5	4	13528
527	-41	-0.9318181818181818	44	13572
528	-113	-0.9741379310344828	116	13688
529	-17	-0.85	20	13708
530	-101	-33.666666666666664	3	13711
531	-119	-5.666666666666667	21	13732
532	-100	-50.0	2	13734
533	-110	-9.166666666666666	12	13746
534	-168	-2.4	70	13816
535	-184	-2.13953488372093	86	13902
536	-173	-2.3066666666666666	75	13977
537	-103	-20.6	5	13982
538	-135	-3.6486486486486487	37	14019
539	-101	-33.666666666666664	3	14022
540	-100	-50.0	2	14024
541	-136	-3.5789473684210527	38	14062
542	-100	-50.0	2	14064
543	-116	-0.9747899159663865	119	14183
544	-109	-9.909090909090908	11	14194
545	-116	-6.444444444444445	18	14212
546	-121	-5.260869565217392	23	14235
547	-100	-50.0	2	14237
548	-100	-50.0	2	14239
549	-124	-4.769230769230769	26	14265
550	-103	-20.6	5	14270
551	-102	-25.5	4	14274
552	-100	-50.0	2	14276
553	43	0.7049180327868853	61	14337
554	-100	-50.0	2	14339
555	-86	-0.9662921348314607	89	14428
556	-112	-8.0	14	14442
557	-125	-4.62962962962963	27	14469
558	-139	-3.3902439024390243	41	14510
559	-318	-1.4454545454545455	220	14730
560	-82	-0.9647058823529412	85	14815
561	-100	-50.0	2	14817
562	-119	-5.666666666666667	21	14838
563	-133	-3.8	35	14873
564	-109	-9.909090909090908	11	14884
565	-101	-33.666666666666664	3	14887
566	-100	-50.0	2	14889
567	-108	-10.8	10	14899
568	-117	-6.157894736842105	19	14918
569	-28	-0.9032258064516129	31	14949
570	-164	-2.484848484848485	66	15015
571	-107	-11.88888888888889	9	15024
572	16	0.18181818181818182	88	15112
573	-100	-50.0	2	15114
574	-120	-5.454545454545454	22	15136
575	-100	-50.0	2	15138
576	-104	-17.333333333333332	6	15144
577	-54	-0.9473684210526315	57	15201
578	-157	-2.6610169491525424	59	15260
579	-100	-50.0	2	15262
580	-100	-50.0	2	15264
581	-100	-50.0	2	15266
582	-35	-0.9210526315789473	38	15304
583	-101	-33.666666666666664	3	15307
584	-78	-0.9629629629629629	81	15388
585	-100	-50.0	2	15390
586	-100	-50.0	2	15392
587	-52	-0.9454545454545454	55	15447
588	-109	-9.909090909090908	11	15458
589	-106	-13.25	8	15466
590	-25	-0.8928571428571429	28	15494
591	-166	-2.4411764705882355	68	15562
592	-129	-4.161290322580645	31	15593
593	-46	-0.30666666666666664	150	15743
594	-155	-2.719298245614035	57	15800
595	-123	-4.92	25	15825
596	-113	-7.533333333333333	15	15840
597	-142	-3.227272727272727	44	15884
598	-100	-50.0	2	15886
599	-100	-50.0	2	15888
600	-100	-50.0	2	15890
601	-116	-6.444444444444445	18	15908
602	-143	-0.9794520547945206	146	16054
603	-100	-50.0	2	16056
604	-111	-8.538461538461538	13	16069
605	-100	-50.0	2	16071
606	-104	-17.333333333333332	6	16077
607	-65	-0.9558823529411765	68	16145
608	-100	-50.0	2	16147
609	-100	-50.0	2	16149
610	-104	-17.333333333333332	6	16155
611	146	2.4745762711864407	59	16214
612	-122	-5.083333333333333	24	16238
613	-100	-50.0	2	16240
614	-92	-0.968421052631579	95	16335
615	-104	-17.333333333333332	6	16341
616	-148	-2.96	50	16391
617	-109	-9.909090909090908	11	16402
618	-100	-50.0	2	16404
619	-149	-2.9215686274509802	51	16455
620	-132	-3.8823529411764706	34	16489
621	-110	-9.166666666666666	12	16501
622	-101	-33.666666666666664	3	16504
623	-146	-3.0416666666666665	48	16552
624	-124	-4.769230769230769	26	16578
625	-100	-50.0	2	16580
626	-28	-0.9032258064516129	31	16611
627	-159	-2.6065573770491803	61	16672
628	-76	-0.9620253164556962	79	16751
629	-120	-0.975609756097561	123	16874
630	-100	-50.0	2	16876
631	-118	-5.9	20	16896
632	-113	-7.533333333333333	15	16911
633	-125	-4.62962962962963	27	16938
634	-139	-3.3902439024390243	41	16979
635	-100	-50.0	2	16981
636	-117	-6.157894736842105	19	17000
637	-104	-17.333333333333332	6	17006
638	-100	-50.0	2	17008
639	-77	-0.9625	80	17088
640	-109	-9.909090909090908	11	17099
641	-64	-0.9552238805970149	67	17166
642	-195	-2.0103092783505154	97	17263
643	-110	-9.166666666666666	12	17275
644	-123	-4.92	25	17300
645	-209	-1.882882882882883	111	17411
646	-51	-0.9444444444444444	54	17465
647	-82	-0.9647058823529412	85	17550
648	-172	-2.324324324324324	74	17624
649	-100	-50.0	2	17626
650	-124	-4.769230769230769	26	17652
651	-100	-50.0	2	17654
652	-100	-50.0	2	17656
653	-100	-50.0	2	17658
654	-55	-0.34591194968553457	159	17817
655	-100	-50.0	2	17819
656	-100	-50.0	2	17821
657	47	0.8245614035087719	57	17878
658	-111	-8.538461538461538	13	17891
