Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605
37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623	37	-18	-1.0	18	623
38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638	38	-15	-1.0	15	638
39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651	39	-13	-1.0	13	651
40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675	40	-123	-5.125	24	675
41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688	41	-13	-1.0	13	688
42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703	42	-15	-1.0	15	703
43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716	43	-13	-1.0	13	716
44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731	44	-15	-1.0	15	731
45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744	45	-13	-1.0	13	744
46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759	46	-15	-1.0	15	759
47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772	47	-13	-1.0	13	772
48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785	48	-13	-1.0	13	785
49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812	49	-225	-8.333333333333334	27	812
50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825	50	-13	-1.0	13	825
51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840	51	-15	-1.0	15	840
52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855	52	-15	-1.0	15	855
53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886	53	-229	-7.387096774193548	31	886
54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899	54	-13	-1.0	13	899
55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912	55	-13	-1.0	13	912
56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928	56	-115	-7.1875	16	928
57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941	57	-13	-1.0	13	941
58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954	58	-13	-1.0	13	954
59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967	59	-13	-1.0	13	967
60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984	60	-17	-1.0	17	984
61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999	61	-15	-1.0	15	999
62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012	62	-13	-1.0	13	1012
63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029	63	-17	-1.0	17	1029
64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043	64	-113	-8.071428571428571	14	1043
65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059	65	-115	-7.1875	16	1059
66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072	66	-13	-1.0	13	1072
67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085	67	-13	-1.0	13	1085
68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108	68	-122	-5.304347826086956	23	1108
69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121	69	-13	-1.0	13	1121
70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139	70	-117	-6.5	18	1139
71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152	71	-13	-1.0	13	1152
72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171	72	-19	-1.0	19	1171
73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205	73	-331	-9.735294117647058	34	1205
74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218	74	-13	-1.0	13	1218
75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231	75	-13	-1.0	13	1231
76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244	76	-13	-1.0	13	1244
77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258	77	-14	-1.0	14	1258
78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271	78	-13	-1.0	13	1271
79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284	79	-13	-1.0	13	1284
