Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380	23	-13	-1.0	13	380
24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397	24	-17	-1.0	17	397
25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410	25	-13	-1.0	13	410
26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424	26	-14	-1.0	14	424
27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437	27	-13	-1.0	13	437
28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472	28	-233	-6.6571428571428575	35	472
29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487	29	-15	-1.0	15	487
30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502	30	-15	-1.0	15	502
31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517	31	-15	-1.0	15	517
32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541	32	-123	-5.125	24	541
