Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
176	-104	-17.333333333333332	6	3167	176	-104	-17.333333333333332	6	3167	176	-104	-17.333333333333332	6	3167
177	-109	-9.909090909090908	11	3178	177	-109	-9.909090909090908	11	3178	177	-109	-9.909090909090908	11	3178
178	-151	-2.849056603773585	53	3231	178	-151	-2.849056603773585	53	3231	178	-151	-2.849056603773585	53	3231
179	-113	-7.533333333333333	15	3246	179	-113	-7.533333333333333	15	3246	179	-113	-7.533333333333333	15	3246
180	-114	-7.125	16	3262	180	-114	-7.125	16	3262	180	-114	-7.125	16	3262
181	-112	-8.0	14	3276	181	-112	-8.0	14	3276	181	-112	-8.0	14	3276
182	-113	-7.533333333333333	15	3291	182	-113	-7.533333333333333	15	3291	182	-113	-7.533333333333333	15	3291
183	-100	-50.0	2	3293	183	-100	-50.0	2	3293	183	-100	-50.0	2	3293
184	-119	-5.666666666666667	21	3314	184	-119	-5.666666666666667	21	3314	184	-119	-5.666666666666667	21	3314
185	-105	-15.0	7	3321	185	-105	-15.0	7	3321	185	-105	-15.0	7	3321
186	-105	-15.0	7	3328	186	-105	-15.0	7	3328	186	-105	-15.0	7	3328
187	-110	-9.166666666666666	12	3340	187	-110	-9.166666666666666	12	3340	187	-110	-9.166666666666666	12	3340
188	-27	-0.9	30	3370	188	-27	-0.9	30	3370	188	-27	-0.9	30	3370
189	-100	-50.0	2	3372	189	-100	-50.0	2	3372	189	-100	-50.0	2	3372
190	-101	-33.666666666666664	3	3375	190	-101	-33.666666666666664	3	3375	190	-101	-33.666666666666664	3	3375
191	-153	-2.7818181818181817	55	3430	191	-153	-2.7818181818181817	55	3430	191	-153	-2.7818181818181817	55	3430
192	-100	-50.0	2	3432	192	-100	-50.0	2	3432	192	-100	-50.0	2	3432
193	-117	-6.157894736842105	19	3451	193	-117	-6.157894736842105	19	3451	193	-117	-6.157894736842105	19	3451
194	-118	-5.9	20	3471	194	-118	-5.9	20	3471	194	-118	-5.9	20	3471
195	-119	-5.666666666666667	21	3492	195	-119	-5.666666666666667	21	3492	195	-119	-5.666666666666667	21	3492
196	-118	-5.9	20	3512	196	-118	-5.9	20	3512	196	-118	-5.9	20	3512
197	-100	-50.0	2	3514	197	-100	-50.0	2	3514	197	-100	-50.0	2	3514
198	-110	-9.166666666666666	12	3526	198	-110	-9.166666666666666	12	3526	198	-110	-9.166666666666666	12	3526
199	-118	-5.9	20	3546	199	-118	-5.9	20	3546	199	-118	-5.9	20	3546
200	-117	-6.157894736842105	19	3565	200	-117	-6.157894736842105	19	3565	200	-117	-6.157894736842105	19	3565
201	-109	-9.909090909090908	11	3576	201	-109	-9.909090909090908	11	3576	201	-109	-9.909090909090908	11	3576
202	-110	-9.166666666666666	12	3588	202	-110	-9.166666666666666	12	3588	202	-110	-9.166666666666666	12	3588
203	-155	-2.719298245614035	57	3645	203	-155	-2.719298245614035	57	3645	203	-155	-2.719298245614035	57	3645
204	-105	-15.0	7	3652	204	-105	-15.0	7	3652	204	-105	-15.0	7	3652
205	-100	-50.0	2	3654	205	-100	-50.0	2	3654	205	-100	-50.0	2	3654
