Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571
37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597
38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610
39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627
40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640
41	-16	-1.0	16	656	41	-16	-1.0	16	656	41	-16	-1.0	16	656	41	-16	-1.0	16	656	41	-16	-1.0	16	656	41	-16	-1.0	16	656	41	-16	-1.0	16	656	41	-16	-1.0	16	656
42	-15	-1.0	15	671	42	-15	-1.0	15	671	42	-15	-1.0	15	671	42	-15	-1.0	15	671	42	-15	-1.0	15	671	42	-15	-1.0	15	671	42	-15	-1.0	15	671	42	-15	-1.0	15	671
43	-14	-1.0	14	685	43	-14	-1.0	14	685	43	-14	-1.0	14	685	43	-14	-1.0	14	685	43	-14	-1.0	14	685	43	-14	-1.0	14	685	43	-14	-1.0	14	685	43	-14	-1.0	14	685
44	-13	-1.0	13	698	44	-13	-1.0	13	698	44	-13	-1.0	13	698	44	-13	-1.0	13	698	44	-13	-1.0	13	698	44	-13	-1.0	13	698	44	-13	-1.0	13	698	44	-13	-1.0	13	698
45	-15	-1.0	15	713	45	-15	-1.0	15	713	45	-15	-1.0	15	713	45	-15	-1.0	15	713	45	-15	-1.0	15	713	45	-15	-1.0	15	713	45	-15	-1.0	15	713	45	-15	-1.0	15	713
46	-15	-1.0	15	728	46	-15	-1.0	15	728	46	-15	-1.0	15	728	46	-15	-1.0	15	728	46	-15	-1.0	15	728	46	-15	-1.0	15	728	46	-15	-1.0	15	728	46	-15	-1.0	15	728
47	-15	-1.0	15	743	47	-15	-1.0	15	743	47	-15	-1.0	15	743	47	-15	-1.0	15	743	47	-15	-1.0	15	743	47	-15	-1.0	15	743	47	-15	-1.0	15	743	47	-15	-1.0	15	743
48	-119	-5.95	20	763	48	-119	-5.95	20	763	48	-119	-5.95	20	763	48	-119	-5.95	20	763	48	-119	-5.95	20	763	48	-119	-5.95	20	763	48	-119	-5.95	20	763	48	-119	-5.95	20	763
49	-15	-1.0	15	778	49	-15	-1.0	15	778	49	-15	-1.0	15	778	49	-15	-1.0	15	778	49	-15	-1.0	15	778	49	-15	-1.0	15	778	49	-15	-1.0	15	778	49	-15	-1.0	15	778
50	-13	-1.0	13	791	50	-13	-1.0	13	791	50	-13	-1.0	13	791	50	-13	-1.0	13	791	50	-13	-1.0	13	791	50	-13	-1.0	13	791	50	-13	-1.0	13	791	50	-13	-1.0	13	791
51	-15	-1.0	15	806	51	-15	-1.0	15	806	51	-15	-1.0	15	806	51	-15	-1.0	15	806	51	-15	-1.0	15	806	51	-15	-1.0	15	806	51	-15	-1.0	15	806	51	-15	-1.0	15	806
52	-13	-1.0	13	819	52	-13	-1.0	13	819	52	-13	-1.0	13	819	52	-13	-1.0	13	819	52	-13	-1.0	13	819	52	-13	-1.0	13	819	52	-13	-1.0	13	819	52	-13	-1.0	13	819
53	-14	-1.0	14	833	53	-14	-1.0	14	833	53	-14	-1.0	14	833	53	-14	-1.0	14	833	53	-14	-1.0	14	833	53	-14	-1.0	14	833	53	-14	-1.0	14	833	53	-14	-1.0	14	833
54	-15	-1.0	15	848	54	-15	-1.0	15	848	54	-15	-1.0	15	848	54	-15	-1.0	15	848	54	-15	-1.0	15	848	54	-15	-1.0	15	848	54	-15	-1.0	15	848	54	-15	-1.0	15	848
55	-13	-1.0	13	861	55	-13	-1.0	13	861	55	-13	-1.0	13	861	55	-13	-1.0	13	861	55	-13	-1.0	13	861	55	-13	-1.0	13	861	55	-13	-1.0	13	861	55	-13	-1.0	13	861
56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884	56	-122	-5.304347826086956	23	884
57	-13	-1.0	13	897	57	-13	-1.0	13	897	57	-13	-1.0	13	897	57	-13	-1.0	13	897	57	-13	-1.0	13	897	57	-13	-1.0	13	897	57	-13	-1.0	13	897	57	-13	-1.0	13	897
58	-14	-1.0	14	911	58	-14	-1.0	14	911	58	-14	-1.0	14	911	58	-14	-1.0	14	911	58	-14	-1.0	14	911	58	-14	-1.0	14	911	58	-14	-1.0	14	911	58	-14	-1.0	14	911
59	-17	-1.0	17	928	59	-17	-1.0	17	928	59	-17	-1.0	17	928	59	-17	-1.0	17	928	59	-17	-1.0	17	928	59	-17	-1.0	17	928	59	-17	-1.0	17	928	59	-17	-1.0	17	928
60	-13	-1.0	13	941	60	-13	-1.0	13	941	60	-13	-1.0	13	941	60	-13	-1.0	13	941	60	-13	-1.0	13	941	60	-13	-1.0	13	941	60	-13	-1.0	13	941	60	-13	-1.0	13	941
61	-121	-5.5	22	963	61	-121	-5.5	22	963	61	-121	-5.5	22	963	61	-121	-5.5	22	963	61	-121	-5.5	22	963	61	-121	-5.5	22	963	61	-121	-5.5	22	963	61	-121	-5.5	22	963
