Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096	30	-27	-1.0	27	2096
31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153	31	-255	-4.473684210526316	57	2153
32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203	32	-149	-2.98	50	2203
33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236	33	-33	-1.0	33	2236
34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270	34	-34	-1.0	34	2270
35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309	35	-138	-3.5384615384615383	39	2309
36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333	36	-24	-1.0	24	2333
37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350	37	-17	-1.0	17	2350
38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381	38	-130	-4.193548387096774	31	2381
39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408	39	-225	-8.333333333333334	27	2408
40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435	40	-27	-1.0	27	2435
41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451	41	-16	-1.0	16	2451
42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475	42	-24	-1.0	24	2475
43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512	43	-37	-1.0	37	2512
44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529	44	-17	-1.0	17	2529
45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553	45	-24	-1.0	24	2553
46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569	46	-16	-1.0	16	2569
47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593	47	-123	-5.125	24	2593
48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625	48	-131	-4.09375	32	2625
49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640	49	-15	-1.0	15	2640
50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653	50	-13	-1.0	13	2653
51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677	51	-123	-5.125	24	2677
52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692	52	-15	-1.0	15	2692
53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705	53	-13	-1.0	13	2705
54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733	54	-127	-4.535714285714286	28	2733
55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746	55	-13	-1.0	13	2746
56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760	56	-14	-1.0	14	2760
57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780	57	-119	-5.95	20	2780
