Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
82	-130	-4.0625	32	1501	82	-130	-4.0625	32	1501	82	-130	-4.0625	32	1501	82	-130	-4.0625	32	1501
83	-103	-20.6	5	1506	83	-103	-20.6	5	1506	83	-103	-20.6	5	1506	83	-103	-20.6	5	1506
84	-143	-3.1777777777777776	45	1551	84	-143	-3.1777777777777776	45	1551	84	-143	-3.1777777777777776	45	1551	84	-143	-3.1777777777777776	45	1551
85	-101	-33.666666666666664	3	1554	85	-101	-33.666666666666664	3	1554	85	-101	-33.666666666666664	3	1554	85	-101	-33.666666666666664	3	1554
86	-100	-50.0	2	1556	86	-100	-50.0	2	1556	86	-100	-50.0	2	1556	86	-100	-50.0	2	1556
87	-100	-50.0	2	1558	87	-100	-50.0	2	1558	87	-100	-50.0	2	1558	87	-100	-50.0	2	1558
88	-103	-20.6	5	1563	88	-103	-20.6	5	1563	88	-103	-20.6	5	1563	88	-103	-20.6	5	1563
89	-100	-50.0	2	1565	89	-100	-50.0	2	1565	89	-100	-50.0	2	1565	89	-100	-50.0	2	1565
90	-108	-10.8	10	1575	90	-108	-10.8	10	1575	90	-108	-10.8	10	1575	90	-108	-10.8	10	1575
91	-100	-50.0	2	1577	91	-100	-50.0	2	1577	91	-100	-50.0	2	1577	91	-100	-50.0	2	1577
92	-144	-3.130434782608696	46	1623	92	-144	-3.130434782608696	46	1623	92	-144	-3.130434782608696	46	1623	92	-144	-3.130434782608696	46	1623
93	-118	-5.9	20	1643	93	-118	-5.9	20	1643	93	-118	-5.9	20	1643	93	-118	-5.9	20	1643
94	-100	-50.0	2	1645	94	-100	-50.0	2	1645	94	-100	-50.0	2	1645	94	-100	-50.0	2	1645
95	-100	-50.0	2	1647	95	-100	-50.0	2	1647	95	-100	-50.0	2	1647	95	-100	-50.0	2	1647
96	-100	-50.0	2	1649	96	-100	-50.0	2	1649	96	-100	-50.0	2	1649	96	-100	-50.0	2	1649
97	-101	-33.666666666666664	3	1652	97	-101	-33.666666666666664	3	1652	97	-101	-33.666666666666664	3	1652	97	-101	-33.666666666666664	3	1652
98	-116	-6.444444444444445	18	1670	98	-116	-6.444444444444445	18	1670	98	-116	-6.444444444444445	18	1670	98	-116	-6.444444444444445	18	1670
99	-115	-6.764705882352941	17	1687	99	-115	-6.764705882352941	17	1687	99	-115	-6.764705882352941	17	1687	99	-115	-6.764705882352941	17	1687
100	-113	-7.533333333333333	15	1702	100	-113	-7.533333333333333	15	1702	100	-113	-7.533333333333333	15	1702	100	-113	-7.533333333333333	15	1702
101	-105	-15.0	7	1709	101	-105	-15.0	7	1709	101	-105	-15.0	7	1709	101	-105	-15.0	7	1709
102	-148	-2.96	50	1759	102	-148	-2.96	50	1759	102	-148	-2.96	50	1759	102	-148	-2.96	50	1759
103	-106	-13.25	8	1767	103	-106	-13.25	8	1767	103	-106	-13.25	8	1767	103	-106	-13.25	8	1767
104	-108	-10.8	10	1777	104	-108	-10.8	10	1777	104	-108	-10.8	10	1777	104	-108	-10.8	10	1777
105	-102	-25.5	4	1781	105	-102	-25.5	4	1781	105	-102	-25.5	4	1781	105	-102	-25.5	4	1781
106	-108	-10.8	10	1791	106	-108	-10.8	10	1791	106	-108	-10.8	10	1791	106	-108	-10.8	10	1791
107	-37	-0.925	40	1831	107	-37	-0.925	40	1831	107	-37	-0.925	40	1831	107	-37	-0.925	40	1831
108	-100	-50.0	2	1833	108	-100	-50.0	2	1833	108	-100	-50.0	2	1833	108	-100	-50.0	2	1833
109	-139	-3.3902439024390243	41	1874	109	-139	-3.3902439024390243	41	1874	109	-139	-3.3902439024390243	41	1874	109	-139	-3.3902439024390243	41	1874
110	-101	-33.666666666666664	3	1877	110	-101	-33.666666666666664	3	1877	110	-101	-33.666666666666664	3	1877	110	-101	-33.666666666666664	3	1877
111	-102	-25.5	4	1881	111	-102	-25.5	4	1881	111	-102	-25.5	4	1881	111	-102	-25.5	4	1881
112	-100	-50.0	2	1883	112	-100	-50.0	2	1883	112	-100	-50.0	2	1883	112	-100	-50.0	2	1883
113	-120	-5.454545454545454	22	1905	113	-120	-5.454545454545454	22	1905	113	-120	-5.454545454545454	22	1905	113	-120	-5.454545454545454	22	1905
114	-103	-20.6	5	1910	114	-103	-20.6	5	1910	114	-103	-20.6	5	1910	114	-103	-20.6	5	1910
115	-100	-50.0	2	1912	115	-100	-50.0	2	1912	115	-100	-50.0	2	1912	115	-100	-50.0	2	1912
116	-111	-8.538461538461538	13	1925	116	-111	-8.538461538461538	13	1925	116	-111	-8.538461538461538	13	1925	116	-111	-8.538461538461538	13	1925
117	-102	-25.5	4	1929	117	-102	-25.5	4	1929	117	-102	-25.5	4	1929	117	-102	-25.5	4	1929
118	-100	-50.0	2	1931	118	-100	-50.0	2	1931	118	-100	-50.0	2	1931	118	-100	-50.0	2	1931
119	-109	-9.909090909090908	11	1942	119	-109	-9.909090909090908	11	1942	119	-109	-9.909090909090908	11	1942	119	-109	-9.909090909090908	11	1942
120	-124	-4.769230769230769	26	1968	120	-124	-4.769230769230769	26	1968	120	-124	-4.769230769230769	26	1968	120	-124	-4.769230769230769	26	1968
121	-100	-50.0	2	1970	121	-100	-50.0	2	1970	121	-100	-50.0	2	1970	121	-100	-50.0	2	1970
122	-110	-9.166666666666666	12	1982	122	-110	-9.166666666666666	12	1982	122	-110	-9.166666666666666	12	1982	122	-110	-9.166666666666666	12	1982
123	-113	-7.533333333333333	15	1997	123	-113	-7.533333333333333	15	1997	123	-113	-7.533333333333333	15	1997	123	-113	-7.533333333333333	15	1997
124	-100	-50.0	2	1999	124	-100	-50.0	2	1999	124	-100	-50.0	2	1999	124	-100	-50.0	2	1999
125	-119	-5.666666666666667	21	2020	125	-119	-5.666666666666667	21	2020	125	-119	-5.666666666666667	21	2020	125	-119	-5.666666666666667	21	2020
126	-113	-7.533333333333333	15	2035	126	-113	-7.533333333333333	15	2035	126	-113	-7.533333333333333	15	2035	126	-113	-7.533333333333333	15	2035
127	-112	-8.0	14	2049	127	-112	-8.0	14	2049	127	-112	-8.0	14	2049	127	-112	-8.0	14	2049
128	-101	-33.666666666666664	3	2052	128	-101	-33.666666666666664	3	2052	128	-101	-33.666666666666664	3	2052	128	-101	-33.666666666666664	3	2052
129	-118	-5.9	20	2072	129	-118	-5.9	20	2072	129	-118	-5.9	20	2072	129	-118	-5.9	20	2072
130	-100	-50.0	2	2074	130	-100	-50.0	2	2074	130	-100	-50.0	2	2074	130	-100	-50.0	2	2074
131	-32	-0.9142857142857143	35	2109	131	-32	-0.9142857142857143	35	2109	131	-32	-0.9142857142857143	35	2109	131	-32	-0.9142857142857143	35	2109
132	-100	-50.0	2	2111	132	-100	-50.0	2	2111	132	-100	-50.0	2	2111	132	-100	-50.0	2	2111
133	-112	-8.0	14	2125	133	-112	-8.0	14	2125	133	-112	-8.0	14	2125	133	-112	-8.0	14	2125
134	-134	-3.7222222222222223	36	2161	134	-134	-3.7222222222222223	36	2161	134	-134	-3.7222222222222223	36	2161	134	-134	-3.7222222222222223	36	2161
135	-100	-50.0	2	2163	135	-100	-50.0	2	2163	135	-100	-50.0	2	2163	135	-100	-50.0	2	2163
136	-144	-3.130434782608696	46	2209	136	-144	-3.130434782608696	46	2209	136	-144	-3.130434782608696	46	2209	136	-144	-3.130434782608696	46	2209
137	-100	-50.0	2	2211	137	-100	-50.0	2	2211	137	-100	-50.0	2	2211	137	-100	-50.0	2	2211
138	-111	-8.538461538461538	13	2224	138	-111	-8.538461538461538	13	2224	138	-111	-8.538461538461538	13	2224	138	-111	-8.538461538461538	13	2224
139	-104	-17.333333333333332	6	2230	139	-104	-17.333333333333332	6	2230	139	-104	-17.333333333333332	6	2230	139	-104	-17.333333333333332	6	2230
140	-100	-50.0	2	2232	140	-100	-50.0	2	2232	140	-100	-50.0	2	2232	140	-100	-50.0	2	2232
141	-102	-25.5	4	2236	141	-102	-25.5	4	2236	141	-102	-25.5	4	2236	141	-102	-25.5	4	2236
142	-103	-20.6	5	2241	142	-103	-20.6	5	2241	142	-103	-20.6	5	2241	142	-103	-20.6	5	2241
143	-100	-50.0	2	2243	143	-100	-50.0	2	2243	143	-100	-50.0	2	2243	143	-100	-50.0	2	2243
144	-100	-50.0	2	2245	144	-100	-50.0	2	2245	144	-100	-50.0	2	2245	144	-100	-50.0	2	2245
145	-102	-25.5	4	2249	145	-102	-25.5	4	2249	145	-102	-25.5	4	2249	145	-102	-25.5	4	2249
146	-111	-8.538461538461538	13	2262	146	-111	-8.538461538461538	13	2262	146	-111	-8.538461538461538	13	2262	146	-111	-8.538461538461538	13	2262
147	-108	-10.8	10	2272	147	-108	-10.8	10	2272	147	-108	-10.8	10	2272	147	-108	-10.8	10	2272
148	-101	-33.666666666666664	3	2275	148	-101	-33.666666666666664	3	2275	148	-101	-33.666666666666664	3	2275	148	-101	-33.666666666666664	3	2275
149	-164	-2.484848484848485	66	2341	149	-164	-2.484848484848485	66	2341	149	-164	-2.484848484848485	66	2341	149	-164	-2.484848484848485	66	2341
