Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
56	-13	-1.0	13	1036	56	-13	-1.0	13	1036	56	-13	-1.0	13	1036	56	-13	-1.0	13	1036	56	-13	-1.0	13	1036
57	-119	-5.95	20	1056	57	-119	-5.95	20	1056	57	-119	-5.95	20	1056	57	-119	-5.95	20	1056	57	-119	-5.95	20	1056
58	-15	-1.0	15	1071	58	-15	-1.0	15	1071	58	-15	-1.0	15	1071	58	-15	-1.0	15	1071	58	-15	-1.0	15	1071
59	-13	-1.0	13	1084	59	-13	-1.0	13	1084	59	-13	-1.0	13	1084	59	-13	-1.0	13	1084	59	-13	-1.0	13	1084
60	-15	-1.0	15	1099	60	-15	-1.0	15	1099	60	-15	-1.0	15	1099	60	-15	-1.0	15	1099	60	-15	-1.0	15	1099
61	-15	-1.0	15	1114	61	-15	-1.0	15	1114	61	-15	-1.0	15	1114	61	-15	-1.0	15	1114	61	-15	-1.0	15	1114
62	-13	-1.0	13	1127	62	-13	-1.0	13	1127	62	-13	-1.0	13	1127	62	-13	-1.0	13	1127	62	-13	-1.0	13	1127
63	-14	-1.0	14	1141	63	-14	-1.0	14	1141	63	-14	-1.0	14	1141	63	-14	-1.0	14	1141	63	-14	-1.0	14	1141
64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158
65	-21	-1.0	21	1179	65	-21	-1.0	21	1179	65	-21	-1.0	21	1179	65	-21	-1.0	21	1179	65	-21	-1.0	21	1179
66	-13	-1.0	13	1192	66	-13	-1.0	13	1192	66	-13	-1.0	13	1192	66	-13	-1.0	13	1192	66	-13	-1.0	13	1192
67	-13	-1.0	13	1205	67	-13	-1.0	13	1205	67	-13	-1.0	13	1205	67	-13	-1.0	13	1205	67	-13	-1.0	13	1205
68	-17	-1.0	17	1222	68	-17	-1.0	17	1222	68	-17	-1.0	17	1222	68	-17	-1.0	17	1222	68	-17	-1.0	17	1222
69	-13	-1.0	13	1235	69	-13	-1.0	13	1235	69	-13	-1.0	13	1235	69	-13	-1.0	13	1235	69	-13	-1.0	13	1235
70	-16	-1.0	16	1251	70	-16	-1.0	16	1251	70	-16	-1.0	16	1251	70	-16	-1.0	16	1251	70	-16	-1.0	16	1251
71	-13	-1.0	13	1264	71	-13	-1.0	13	1264	71	-13	-1.0	13	1264	71	-13	-1.0	13	1264	71	-13	-1.0	13	1264
72	-15	-1.0	15	1279	72	-15	-1.0	15	1279	72	-15	-1.0	15	1279	72	-15	-1.0	15	1279	72	-15	-1.0	15	1279
73	-17	-1.0	17	1296	73	-17	-1.0	17	1296	73	-17	-1.0	17	1296	73	-17	-1.0	17	1296	73	-17	-1.0	17	1296
74	-13	-1.0	13	1309	74	-13	-1.0	13	1309	74	-13	-1.0	13	1309	74	-13	-1.0	13	1309	74	-13	-1.0	13	1309
75	-123	-5.125	24	1333	75	-123	-5.125	24	1333	75	-123	-5.125	24	1333	75	-123	-5.125	24	1333	75	-123	-5.125	24	1333
76	-13	-1.0	13	1346	76	-13	-1.0	13	1346	76	-13	-1.0	13	1346	76	-13	-1.0	13	1346	76	-13	-1.0	13	1346
77	-13	-1.0	13	1359	77	-13	-1.0	13	1359	77	-13	-1.0	13	1359	77	-13	-1.0	13	1359	77	-13	-1.0	13	1359
78	-16	-1.0	16	1375	78	-16	-1.0	16	1375	78	-16	-1.0	16	1375	78	-16	-1.0	16	1375	78	-16	-1.0	16	1375
79	-14	-1.0	14	1389	79	-14	-1.0	14	1389	79	-14	-1.0	14	1389	79	-14	-1.0	14	1389	79	-14	-1.0	14	1389
80	-127	-4.535714285714286	28	1417	80	-127	-4.535714285714286	28	1417	80	-127	-4.535714285714286	28	1417	80	-127	-4.535714285714286	28	1417	80	-127	-4.535714285714286	28	1417
81	-17	-1.0	17	1434	81	-17	-1.0	17	1434	81	-17	-1.0	17	1434	81	-17	-1.0	17	1434	81	-17	-1.0	17	1434
82	-14	-1.0	14	1448	82	-14	-1.0	14	1448	82	-14	-1.0	14	1448	82	-14	-1.0	14	1448	82	-14	-1.0	14	1448
83	-228	-7.6	30	1478	83	-228	-7.6	30	1478	83	-228	-7.6	30	1478	83	-228	-7.6	30	1478	83	-228	-7.6	30	1478
84	-17	-1.0	17	1495	84	-17	-1.0	17	1495	84	-17	-1.0	17	1495	84	-17	-1.0	17	1495	84	-17	-1.0	17	1495
85	-19	-1.0	19	1514	85	-19	-1.0	19	1514	85	-19	-1.0	19	1514	85	-19	-1.0	19	1514	85	-19	-1.0	19	1514
86	-13	-1.0	13	1527	86	-13	-1.0	13	1527	86	-13	-1.0	13	1527	86	-13	-1.0	13	1527	86	-13	-1.0	13	1527
87	-16	-1.0	16	1543	87	-16	-1.0	16	1543	87	-16	-1.0	16	1543	87	-16	-1.0	16	1543	87	-16	-1.0	16	1543
88	-13	-1.0	13	1556	88	-13	-1.0	13	1556	88	-13	-1.0	13	1556	88	-13	-1.0	13	1556	88	-13	-1.0	13	1556
89	-17	-1.0	17	1573	89	-17	-1.0	17	1573	89	-17	-1.0	17	1573	89	-17	-1.0	17	1573	89	-17	-1.0	17	1573
90	-13	-1.0	13	1586	90	-13	-1.0	13	1586	90	-13	-1.0	13	1586	90	-13	-1.0	13	1586	90	-13	-1.0	13	1586
91	-231	-7.0	33	1619	91	-231	-7.0	33	1619	91	-231	-7.0	33	1619	91	-231	-7.0	33	1619	91	-231	-7.0	33	1619
92	-226	-8.071428571428571	28	1647	92	-226	-8.071428571428571	28	1647	92	-226	-8.071428571428571	28	1647	92	-226	-8.071428571428571	28	1647	92	-226	-8.071428571428571	28	1647
93	-13	-1.0	13	1660	93	-13	-1.0	13	1660	93	-13	-1.0	13	1660	93	-13	-1.0	13	1660	93	-13	-1.0	13	1660
94	-115	-7.1875	16	1676	94	-115	-7.1875	16	1676	94	-115	-7.1875	16	1676	94	-115	-7.1875	16	1676	94	-115	-7.1875	16	1676
95	-13	-1.0	13	1689	95	-13	-1.0	13	1689	95	-13	-1.0	13	1689	95	-13	-1.0	13	1689	95	-13	-1.0	13	1689
96	-17	-1.0	17	1706	96	-17	-1.0	17	1706	96	-17	-1.0	17	1706	96	-17	-1.0	17	1706	96	-17	-1.0	17	1706
97	-13	-1.0	13	1719	97	-13	-1.0	13	1719	97	-13	-1.0	13	1719	97	-13	-1.0	13	1719	97	-13	-1.0	13	1719
98	-13	-1.0	13	1732	98	-13	-1.0	13	1732	98	-13	-1.0	13	1732	98	-13	-1.0	13	1732	98	-13	-1.0	13	1732
99	-15	-1.0	15	1747	99	-15	-1.0	15	1747	99	-15	-1.0	15	1747	99	-15	-1.0	15	1747	99	-15	-1.0	15	1747
100	-17	-1.0	17	1764	100	-17	-1.0	17	1764	100	-17	-1.0	17	1764	100	-17	-1.0	17	1764	100	-17	-1.0	17	1764
101	-120	-5.714285714285714	21	1785	101	-120	-5.714285714285714	21	1785	101	-120	-5.714285714285714	21	1785	101	-120	-5.714285714285714	21	1785	101	-120	-5.714285714285714	21	1785
102	-15	-1.0	15	1800	102	-15	-1.0	15	1800	102	-15	-1.0	15	1800	102	-15	-1.0	15	1800	102	-15	-1.0	15	1800
103	-122	-5.304347826086956	23	1823	103	-122	-5.304347826086956	23	1823	103	-122	-5.304347826086956	23	1823	103	-122	-5.304347826086956	23	1823	103	-122	-5.304347826086956	23	1823
104	-14	-1.0	14	1837	104	-14	-1.0	14	1837	104	-14	-1.0	14	1837	104	-14	-1.0	14	1837	104	-14	-1.0	14	1837
105	-15	-1.0	15	1852	105	-15	-1.0	15	1852	105	-15	-1.0	15	1852	105	-15	-1.0	15	1852	105	-15	-1.0	15	1852
106	-13	-1.0	13	1865	106	-13	-1.0	13	1865	106	-13	-1.0	13	1865	106	-13	-1.0	13	1865	106	-13	-1.0	13	1865
107	-17	-1.0	17	1882	107	-17	-1.0	17	1882	107	-17	-1.0	17	1882	107	-17	-1.0	17	1882	107	-17	-1.0	17	1882
108	-13	-1.0	13	1895	108	-13	-1.0	13	1895	108	-13	-1.0	13	1895	108	-13	-1.0	13	1895	108	-13	-1.0	13	1895
109	-232	-6.823529411764706	34	1929	109	-232	-6.823529411764706	34	1929	109	-232	-6.823529411764706	34	1929	109	-232	-6.823529411764706	34	1929	109	-232	-6.823529411764706	34	1929
110	-15	-1.0	15	1944	110	-15	-1.0	15	1944	110	-15	-1.0	15	1944	110	-15	-1.0	15	1944	110	-15	-1.0	15	1944
111	-13	-1.0	13	1957	111	-13	-1.0	13	1957	111	-13	-1.0	13	1957	111	-13	-1.0	13	1957	111	-13	-1.0	13	1957
112	-13	-1.0	13	1970	112	-13	-1.0	13	1970	112	-13	-1.0	13	1970	112	-13	-1.0	13	1970	112	-13	-1.0	13	1970
113	-17	-1.0	17	1987	113	-17	-1.0	17	1987	113	-17	-1.0	17	1987	113	-17	-1.0	17	1987	113	-17	-1.0	17	1987
114	-226	-8.071428571428571	28	2015	114	-226	-8.071428571428571	28	2015	114	-226	-8.071428571428571	28	2015	114	-226	-8.071428571428571	28	2015	114	-226	-8.071428571428571	28	2015
115	-15	-1.0	15	2030	115	-15	-1.0	15	2030	115	-15	-1.0	15	2030	115	-15	-1.0	15	2030	115	-15	-1.0	15	2030
116	-121	-5.5	22	2052	116	-121	-5.5	22	2052	116	-121	-5.5	22	2052	116	-121	-5.5	22	2052	116	-121	-5.5	22	2052
117	-14	-1.0	14	2066	117	-14	-1.0	14	2066	117	-14	-1.0	14	2066	117	-14	-1.0	14	2066	117	-14	-1.0	14	2066
118	-15	-1.0	15	2081	118	-15	-1.0	15	2081	118	-15	-1.0	15	2081	118	-15	-1.0	15	2081	118	-15	-1.0	15	2081
119	-125	-4.8076923076923075	26	2107	119	-125	-4.8076923076923075	26	2107	119	-125	-4.8076923076923075	26	2107	119	-125	-4.8076923076923075	26	2107	119	-125	-4.8076923076923075	26	2107
120	-17	-1.0	17	2124	120	-17	-1.0	17	2124	120	-17	-1.0	17	2124	120	-17	-1.0	17	2124	120	-17	-1.0	17	2124
121	-15	-1.0	15	2139	121	-15	-1.0	15	2139	121	-15	-1.0	15	2139	121	-15	-1.0	15	2139	121	-15	-1.0	15	2139
122	-13	-1.0	13	2152	122	-13	-1.0	13	2152	122	-13	-1.0	13	2152	122	-13	-1.0	13	2152	122	-13	-1.0	13	2152
123	-13	-1.0	13	2165	123	-13	-1.0	13	2165	123	-13	-1.0	13	2165	123	-13	-1.0	13	2165	123	-13	-1.0	13	2165
124	-118	-6.2105263157894735	19	2184	124	-118	-6.2105263157894735	19	2184	124	-118	-6.2105263157894735	19	2184	124	-118	-6.2105263157894735	19	2184	124	-118	-6.2105263157894735	19	2184
125	-15	-1.0	15	2199	125	-15	-1.0	15	2199	125	-15	-1.0	15	2199	125	-15	-1.0	15	2199	125	-15	-1.0	15	2199
126	-13	-1.0	13	2212	126	-13	-1.0	13	2212	126	-13	-1.0	13	2212	126	-13	-1.0	13	2212	126	-13	-1.0	13	2212
127	-18	-1.0	18	2230	127	-18	-1.0	18	2230	127	-18	-1.0	18	2230	127	-18	-1.0	18	2230	127	-18	-1.0	18	2230
128	-13	-1.0	13	2243	128	-13	-1.0	13	2243	128	-13	-1.0	13	2243	128	-13	-1.0	13	2243	128	-13	-1.0	13	2243
